depth,2015-11-16 08:19:29.925592,2015-11-16 14:11:46.753733,2015-11-16 20:56:10.004868,2015-11-17 02:52:46.612046,2015-11-17 03:08:55.900161,2015-11-17 09:16:29.689119,2015-11-17 09:32:06.997272,2015-11-17 15:38:22.484564,2015-11-17 15:53:11.520387,2015-11-17 22:02:28.559631,2015-11-17 22:17:14.195594,2015-11-18 04:23:09.528720,2015-11-18 04:46:40.284314,2015-11-18 10:52:26.409021,2015-11-18 11:08:55.288469,2015-11-18 17:20:15.539537,2015-11-18 17:36:47.591046,2015-11-18 23:52:10.778777,2015-11-19 00:07:39.601047,2015-11-19 06:14:48.319754,2015-11-19 06:34:02.131077,2015-11-19 12:40:34.048354,2015-11-19 12:57:02.670109,2015-11-19 19:17:22.750335,2015-11-20 02:04:16.941810,2015-11-20 08:16:58.129051,2015-11-20 08:44:55.150834,2015-11-20 14:57:26.102192,2015-11-20 15:15:25.502312,2015-11-20 21:21:49.953647,2015-11-20 21:36:37.895561,2015-11-21 03:50:07.765480,2015-11-21 04:05:27.305624,2015-11-21 10:12:06.206890,2015-11-21 16:54:35.898713,2015-11-21 23:05:00.933072,2015-11-21 23:20:11.940613,2015-11-22 05:37:35.630627,2015-11-22 05:53:44.023926,2015-11-22 12:09:20.114262,2015-11-22 12:24:27.211957,2015-11-22 18:36:49.777533,2015-11-23 01:11:32.994910,2015-11-23 07:21:32.641536,2015-11-23 07:41:44.345706,2015-11-23 13:40:17.570619,2015-11-23 13:55:08.717445,2015-11-23 20:09:47.971416,2015-11-23 20:25:20.904819,2015-11-24 02:23:19.383239,2015-11-24 02:39:47.807741,2015-11-24 08:43:28.781326,2015-11-24 08:59:07.061552,2015-11-24 14:24:04.204360,2015-11-24 14:41:45.301270,2015-11-24 19:50:27.379814,2015-11-24 20:04:23.803772,2015-11-25 00:47:04.855247,2015-11-25 01:00:28.569224,2015-11-25 05:33:46.394574,2015-11-25 05:52:51.319575,2015-11-25 10:25:26.209853,2015-11-25 10:47:55.029976,2015-11-25 15:25:02.534205,2015-11-25 15:39:13.320448,2015-11-25 20:35:14.850280,2015-11-25 20:49:29.459937,2015-11-26 01:25:31.496075,2015-11-26 01:39:39.647278,2015-11-26 06:24:47.153973,2015-11-26 06:38:47.334228,2015-11-26 11:20:49.925249,2015-11-26 11:35:12.184382,2015-11-26 16:19:17.962665,2015-11-26 16:33:39.935711,2015-11-26 21:33:57.681594,2015-11-26 21:47:13.906032,2015-11-27 02:24:57.090434,2015-11-27 02:38:41.130875,2015-11-27 07:40:52.156108,2015-11-27 07:55:20.540314,2015-11-27 12:34:11.745449,2015-11-27 12:48:01.011118,2015-11-27 17:14:56.626532,2015-11-27 22:37:08.081906,2015-11-28 03:17:28.212459,2015-11-28 03:31:51.319646,2015-11-28 08:09:20.178477,2015-11-28 08:23:01.420864,2015-11-28 12:59:29.798712,2015-11-28 13:13:04.433168,2015-11-28 17:47:48.287161,2015-11-28 18:01:22.926043,2015-11-28 22:33:24.029078,2015-11-28 22:47:42.920446,2015-11-29 03:28:55.693723,2015-11-29 03:42:19.593436,2015-11-29 08:25:17.629500,2015-11-29 08:39:31.041306,2015-11-29 13:17:18.913110,2015-11-29 13:37:00.661699,2015-11-29 18:20:53.875295,2015-11-29 18:34:36.849135,2015-11-30 00:46:04.119416,2015-11-30 01:01:21.941606,2015-11-30 07:21:36.200560,2015-11-30 07:37:24.792980,2015-11-30 13:46:37.945955,2015-11-30 14:01:24.461695,2015-11-30 20:08:09.687922,2015-11-30 20:24:03.042467,2015-12-01 02:26:44.953679,2015-12-01 02:41:21.746339,2015-12-01 08:40:16.886873,2015-12-01 08:55:43.112749,2015-12-01 14:58:52.830861,2015-12-01 15:14:01.734621,2015-12-01 21:22:18.321165,2015-12-01 21:37:50.977694,2015-12-02 03:53:00.799806,2015-12-02 04:08:49.759826,2015-12-02 10:26:25.090071,2015-12-02 10:41:14.142370,2015-12-02 16:46:07.320774,2015-12-02 17:01:07.574973,2015-12-02 21:37:33.312018,2015-12-02 21:51:28.542571,2015-12-03 02:28:57.551884,2015-12-03 02:43:26.174189,2015-12-03 08:50:00.089735,2015-12-03 09:04:43.498150,2015-12-03 15:11:10.147240,2015-12-03 15:25:39.771149,2015-12-03 21:34:02.002170,2015-12-03 21:49:22.660997,2015-12-04 03:50:02.336380,2015-12-04 04:04:37.737033,2015-12-04 08:44:26.242270,2015-12-04 08:58:59.005299,2015-12-04 13:47:47.195056,2015-12-04 14:02:09.293930,2015-12-04 18:40:41.400507,2015-12-04 18:54:32.957554,2015-12-04 23:39:58.387446,2015-12-04 23:57:25.911135,2015-12-05 04:42:35.930228,2015-12-05 04:58:06.457549,2015-12-05 09:30:06.163689,2015-12-05 09:44:00.918395,2015-12-05 14:20:44.057679
30,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
31,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
32,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
33,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
34,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
35,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
36,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
37,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
38,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
39,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
40,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
41,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
42,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
43,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
44,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
45,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
46,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
47,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
48,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
49,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
50,True,True,False,False,False,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True
